iata,name,city,country,latitude,longitude
PMZ,Palmur Sur Airport,PMZ,CR,8.94960113833594,-83.4684906766809
PNA,Pamplona Airport,PNA,ES,42.765569752066526,-1.6443888534131972
PNB,Porto Nacional Airport,PNB,BR,-10.70285178789662,-48.41493532779997
PNC,Ponca City Airport,PNC,US,36.726593110602636,-97.09915769381685
PND,Punta Gorda Airport,PND,BZ,16.094384552651245,-88.81418604191558
PNE,North Philadelphia Airport,PHL,US,40.07839916275967,-75.01163731431626
PNF,Peterson'S Point Airport,PNF,US,58.682335235351594,-156.83000892903544
PNG,Paranagua Municipal Airport,PNG,BR,-25.51954017327026,-48.49514906941259
PNH,Pochentong Airport,PNH,KH,11.545099489923818,104.85127896780875
PNI,Pohnpei Airport,PNI,FM,7.013003452016373,158.23948676615927
PNJ,Peng Lai/Sha He Kou Airport,PNJ,CN,37.80375492384867,120.8138750204246
PNK,Supadio Airport,PNK,ID,-0.1546986086980584,109.40056061544159
PNL,Pantelleria Airport,PNL,IT,36.81253738092891,11.963358930354243
PNN,Princeton Airport,PNN,US,45.229287287581826,-67.56318625082312
PNO,Pinotepa Nacional Airport,PNO,MX,16.340756306202778,-98.06745312188205
PNP,Girua Airport,PNP,PG,-8.777713451457045,148.2299128393973
PNQ,Lohegaon Airport,PNQ,IN,18.581020787926523,73.92301444364294
PNR,Pointe Noire Airport,PNR,CG,-4.812845414212118,11.888874009907962
PNS,Pensacola Regional Airport,PNS,US,30.46989394406084,-87.18698909480841
PNT,Teniente J. Gallardo Airport,PNT,CL,-51.68652422324978,-72.51353660651911
PNU,Panguitch Airport,PNU,US,37.83240415232229,-112.37994377291452
PNV,Pajuostis Airport,PNV,LT,55.73160472144687,24.385083318171578
PNX,Grayson County Airport,PNX,US,33.63835381323264,-96.60641418671379
PNY,Pondicherry Airport,PNY,IN,12.014925151040547,79.80156018678699
PNZ,Petrolina Internacional Airport,PNZ,BR,-9.396508099692689,-40.485198399536465
POA,Salgado Filho Airport,POA,BR,-29.9943420230987,-51.16513148767311
POB,Pope Afb,FAY,US,35.04782823526188,-78.87910215824175
POC,Brackett Field,POC,US,34.02796487896309,-117.5136505568795
POD,Podor Airport,POD,SN,16.661612980200587,-14.965658226266203
POE,Polk Aaf,POE,US,31.042854607871114,-93.19158597908505
POF,Earl Fields Memorial Airport,POF,US,36.7094049395563,-90.30960814936567
POG,Port Gentil International Airport,POG,GA,-0.7161972545856996,8.76052442663706
POH,Pocahontas Municipal Airport,POH,US,42.73692052359291,-94.64117068701519
POI,Potosi Airport,POI,BO,-19.537860281206317,-65.71253283482983
POJ,Patos De Minas Airport,POJ,BR,-18.672693879419143,-46.489795283813095
